,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2446,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2447,Mahindra,"46,365",Thar,2017,Diesel,7.72
2448,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2449,Maruti,"76,734",Swift,2015,Diesel,3.76
2450,Maruti,"86,294",Swift,2014,Diesel,4.11
2451,Maruti,"39,781",Baleno,2017,Petrol,5.96
2452,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2453,Hyundai,"45,716",Creta,2018,Petrol,8.99
2454,Maruti,"72,880",Wagon,2011,Petrol,1.70
2455,BMW,"85,000",X5,2015,Diesel,31.25
2456,Ford,"70,000",Endeavour,2017,Diesel,24.60
2457,Honda,"75,000",CR-V,2016,Petrol,11.51
2458,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2459,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2460,Renault,"23,290",KWID,2017,Petrol,3.43
2461,Tata,"96,177",Harrier,2019,Diesel,12.88
2462,Maruti,"14,190",Alto,2018,Petrol,3.86
2463,Maruti,"50,969",Celerio,2018,CNG,5.13
2464,Honda,"26,736",Jazz,2017,Petrol,6.90
2465,Maruti,"34,278",Baleno,2017,Petrol,6.53
2466,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2467,Mahindra,"46,365",Thar,2017,Diesel,7.72
2468,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2469,Maruti,"76,734",Swift,2015,Diesel,3.76
2470,Maruti,"86,294",Swift,2014,Diesel,4.11
2471,Maruti,"39,781",Baleno,2017,Petrol,5.96
2472,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2473,Hyundai,"45,716",Creta,2018,Petrol,8.99
2474,Maruti,"72,880",Wagon,2011,Petrol,1.70
2475,BMW,"85,000",X5,2015,Diesel,31.25
2476,Ford,"70,000",Endeavour,2017,Diesel,24.60
2477,Honda,"75,000",CR-V,2016,Petrol,11.51
2478,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2479,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2480,Renault,"23,290",KWID,2017,Petrol,3.43
2481,Tata,"96,177",Harrier,2019,Diesel,12.88
2482,Maruti,"14,190",Alto,2018,Petrol,3.86
2483,Maruti,"50,969",Celerio,2018,CNG,5.13
2484,Honda,"26,736",Jazz,2017,Petrol,6.90
2485,Maruti,"34,278",Baleno,2017,Petrol,6.53
2486,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2487,Mahindra,"46,365",Thar,2017,Diesel,7.72
2488,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2489,Maruti,"76,734",Swift,2015,Diesel,3.76
2490,Maruti,"86,294",Swift,2014,Diesel,4.11
2491,Maruti,"39,781",Baleno,2017,Petrol,5.96
2492,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2493,Hyundai,"45,716",Creta,2018,Petrol,8.99
2494,Maruti,"72,880",Wagon,2011,Petrol,1.70
2495,BMW,"85,000",X5,2015,Diesel,31.25
2496,Ford,"70,000",Endeavour,2017,Diesel,24.60
2497,Honda,"75,000",CR-V,2016,Petrol,11.51
2498,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2499,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2500,Renault,"23,290",KWID,2017,Petrol,3.43
2501,Tata,"96,177",Harrier,2019,Diesel,12.88
2502,Maruti,"14,190",Alto,2018,Petrol,3.86
2503,Maruti,"50,969",Celerio,2018,CNG,5.13
2504,Honda,"26,736",Jazz,2017,Petrol,6.90
2505,Maruti,"34,278",Baleno,2017,Petrol,6.53
2506,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2507,Mahindra,"46,365",Thar,2017,Diesel,7.72
2508,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2509,Maruti,"76,734",Swift,2015,Diesel,3.76
2510,Maruti,"86,294",Swift,2014,Diesel,4.11
2511,Maruti,"39,781",Baleno,2017,Petrol,5.96
2512,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2513,Hyundai,"45,716",Creta,2018,Petrol,8.99
2514,Maruti,"72,880",Wagon,2011,Petrol,1.70
2515,BMW,"85,000",X5,2015,Diesel,31.25
2516,Ford,"70,000",Endeavour,2017,Diesel,24.60
2517,Honda,"75,000",CR-V,2016,Petrol,11.51
2518,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2519,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2520,Renault,"23,290",KWID,2017,Petrol,3.43
2521,Tata,"96,177",Harrier,2019,Diesel,12.88
2522,Maruti,"14,190",Alto,2018,Petrol,3.86
2523,Maruti,"50,969",Celerio,2018,CNG,5.13
2524,Honda,"26,736",Jazz,2017,Petrol,6.90
2525,Maruti,"34,278",Baleno,2017,Petrol,6.53
2526,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2527,Mahindra,"46,365",Thar,2017,Diesel,7.72
2528,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2529,Maruti,"76,734",Swift,2015,Diesel,3.76
2530,Maruti,"86,294",Swift,2014,Diesel,4.11
2531,Maruti,"39,781",Baleno,2017,Petrol,5.96
2532,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2533,Hyundai,"45,716",Creta,2018,Petrol,8.99
2534,Maruti,"72,880",Wagon,2011,Petrol,1.70
2535,BMW,"85,000",X5,2015,Diesel,31.25
2536,Ford,"70,000",Endeavour,2017,Diesel,24.60
2537,Honda,"75,000",CR-V,2016,Petrol,11.51
2538,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2539,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2540,Renault,"23,290",KWID,2017,Petrol,3.43
2541,Tata,"96,177",Harrier,2019,Diesel,12.88
2542,Maruti,"14,190",Alto,2018,Petrol,3.86
2543,Maruti,"50,969",Celerio,2018,CNG,5.13
2544,Honda,"26,736",Jazz,2017,Petrol,6.90
2545,Maruti,"34,278",Baleno,2017,Petrol,6.53
2546,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2547,Mahindra,"46,365",Thar,2017,Diesel,7.72
2548,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2549,Maruti,"76,734",Swift,2015,Diesel,3.76
2550,Maruti,"86,294",Swift,2014,Diesel,4.11
2551,Maruti,"39,781",Baleno,2017,Petrol,5.96
2552,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2553,Hyundai,"45,716",Creta,2018,Petrol,8.99
2554,Maruti,"72,880",Wagon,2011,Petrol,1.70
2555,BMW,"85,000",X5,2015,Diesel,31.25
2556,Ford,"70,000",Endeavour,2017,Diesel,24.60
2557,Honda,"75,000",CR-V,2016,Petrol,11.51
2558,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2559,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2560,Renault,"23,290",KWID,2017,Petrol,3.43
2561,Tata,"96,177",Harrier,2019,Diesel,12.88
2562,Maruti,"14,190",Alto,2018,Petrol,3.86
2563,Maruti,"50,969",Celerio,2018,CNG,5.13
2564,Honda,"26,736",Jazz,2017,Petrol,6.90
2565,Maruti,"34,278",Baleno,2017,Petrol,6.53
2566,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2567,Mahindra,"46,365",Thar,2017,Diesel,7.72
2568,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2569,Maruti,"76,734",Swift,2015,Diesel,3.76
2570,Maruti,"86,294",Swift,2014,Diesel,4.11
2571,Maruti,"39,781",Baleno,2017,Petrol,5.96
2572,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2573,Hyundai,"45,716",Creta,2018,Petrol,8.99
2574,Maruti,"72,880",Wagon,2011,Petrol,1.70
2575,BMW,"85,000",X5,2015,Diesel,31.25
2576,Ford,"70,000",Endeavour,2017,Diesel,24.60
2577,Honda,"75,000",CR-V,2016,Petrol,11.51
2578,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2579,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2580,Renault,"23,290",KWID,2017,Petrol,3.43
2581,Tata,"96,177",Harrier,2019,Diesel,12.88
2582,Maruti,"14,190",Alto,2018,Petrol,3.86
2583,Maruti,"50,969",Celerio,2018,CNG,5.13
2584,Honda,"26,736",Jazz,2017,Petrol,6.90
2585,Maruti,"34,278",Baleno,2017,Petrol,6.53
2586,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2587,Mahindra,"46,365",Thar,2017,Diesel,7.72
2588,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2589,Maruti,"76,734",Swift,2015,Diesel,3.76
2590,Maruti,"86,294",Swift,2014,Diesel,4.11
2591,Maruti,"39,781",Baleno,2017,Petrol,5.96
2592,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2593,Hyundai,"45,716",Creta,2018,Petrol,8.99
2594,Maruti,"72,880",Wagon,2011,Petrol,1.70
2595,BMW,"85,000",X5,2015,Diesel,31.25
2596,Ford,"70,000",Endeavour,2017,Diesel,24.60
2597,Honda,"75,000",CR-V,2016,Petrol,11.51
2598,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2599,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2600,Renault,"23,290",KWID,2017,Petrol,3.43
2601,Tata,"96,177",Harrier,2019,Diesel,12.88
2602,Maruti,"14,190",Alto,2018,Petrol,3.86
2603,Maruti,"50,969",Celerio,2018,CNG,5.13
2604,Honda,"26,736",Jazz,2017,Petrol,6.90
2605,Maruti,"34,278",Baleno,2017,Petrol,6.53
2606,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2607,Mahindra,"46,365",Thar,2017,Diesel,7.72
2608,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2609,Maruti,"76,734",Swift,2015,Diesel,3.76
2610,Maruti,"86,294",Swift,2014,Diesel,4.11
2611,Maruti,"39,781",Baleno,2017,Petrol,5.96
2612,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2613,Hyundai,"45,716",Creta,2018,Petrol,8.99
2614,Maruti,"72,880",Wagon,2011,Petrol,1.70
2615,BMW,"85,000",X5,2015,Diesel,31.25
2616,Ford,"70,000",Endeavour,2017,Diesel,24.60
2617,Honda,"75,000",CR-V,2016,Petrol,11.51
2618,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2619,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2620,Renault,"23,290",KWID,2017,Petrol,3.43
2621,Tata,"96,177",Harrier,2019,Diesel,12.88
