,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2658,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2659,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2660,Renault,"23,290",KWID,2017,Petrol,3.43
2661,Tata,"96,177",Harrier,2019,Diesel,12.88
2662,Maruti,"14,190",Alto,2018,Petrol,3.86
2663,Maruti,"50,969",Celerio,2018,CNG,5.13
2664,Honda,"26,736",Jazz,2017,Petrol,6.90
2665,Maruti,"34,278",Baleno,2017,Petrol,6.53
2666,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2667,Mahindra,"46,365",Thar,2017,Diesel,7.72
2668,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2669,Maruti,"76,734",Swift,2015,Diesel,3.76
2670,Maruti,"86,294",Swift,2014,Diesel,4.11
2671,Maruti,"39,781",Baleno,2017,Petrol,5.96
2672,Maruti,"82,496",Ciaz,2019,Petrol,8.72
